name,kind,category,status,notes
iter_relation_mechanism_v1,directory,active,keep,"Current active mechanism run; do not move"
expert_fusion_gate_init_sanity,directory,expert_validation,reference,"Initial expert-fusion sanity checks"
expert_validation_sanity,directory,expert_validation,reference,"Sanity matrix for fallback and protocol checks"
expert_validation_full,directory,expert_validation,reference,"Full expert validation batch"
real_gcn_diagnostic,directory,expert_validation,reference,"Real-data GCN diagnostic rerun"
preference_routing_sanity_v2,directory,routing_preference,reference,"Preference-routing smoke results"
preference_routing_full_v3,directory,routing_preference,reference,"Main preference-routing batch"
utility_routing_sanity_v2,directory,routing_preference,reference,"Utility-routing smoke results"
utility_routing_full_v3,directory,routing_preference,reference,"Main utility-routing batch"
expert_headroom_diagnosis_v1,directory,mechanism_diagnosis,reference,"Oracle headroom and separability diagnosis"
control_alignment_diagnosis_v2,directory,mechanism_diagnosis,reference,"Replay-based alpha alignment diagnosis"
mechanism_diagnosis,directory,mechanism_diagnosis,reference,"Integrated mechanism summary"
mechanism_diagnosis_smoke,directory,mechanism_diagnosis,reference,"Early smoke mechanism summary"
mechanism_diagnosis_smoke_v2,directory,mechanism_diagnosis,reference,"Second smoke mechanism summary"
representation_control_screen_v3,directory,representation_control,reference,"Main scalar representation-control screen"
representation_control_confirm_s010_r10,directory,representation_control,reference,"Strength 0.10 confirmation run"
representation_control_strength_0.05,directory,representation_control,reference,"Strength sweep 0.05"
representation_control_strength_0.10,directory,representation_control,reference,"Strength sweep 0.10"
representation_control_strength_0.20,directory,representation_control,reference,"Strength sweep 0.20"
representation_control_strength_combined_summary.csv,file,representation_control,reference,"Combined summary for strength sweep"
representation_control_strength_key_comparisons.csv,file,representation_control,reference,"Key pairwise comparisons for strength sweep"
iterative_relation_k1_screen,directory,representation_control,reference,"Iterative relation step screen K=1"
iterative_relation_k2_screen,directory,representation_control,reference,"Iterative relation step screen K=2"
iterative_relation_k3_screen,directory,representation_control,reference,"Iterative relation step screen K=3"
iterative_relation_binary_k1_screen,directory,representation_control,reference,"Binary benchmark iterative relation screen"
iterative_relation_binary_shared_backbone,directory,representation_control,reference,"Binary benchmark shared-backbone run"
archive,directory,historical_archive,reference,"Older archived outputs"
archive_manifest.csv,file,historical_archive,reference,"Manifest for older archived outputs"
